PLAYER,AGENTS,# GAMES,GAMES WON,GAMES LOST,# ROUNDS,ROUNDS WON,ROUNDS LOST,ACS,K/D,KAST,ADR,KILLS,KPG,KPR,DEATHS,DPG,DPR,ASSISTS,APG,APR,FK,FKPG,FD,FDPG,HS%,PLANTS,PLANTS / GAME,DEFUSES,DEFUSES / GAME,ECON RATING
Pupper,Yoru,21,17,4,432,249,183,336.9,1.78,78.24%,217.4,514,24.48,1.19,289,13.76,0.67,129,6.14,0.30,98,4.67,58,2.76,25.81%,11,0.52,8,0.38,85.3
gonu,Jett Raze,2,2,0,39,26,13,332.0,1.76,79.49%,199.2,44,22.00,1.13,25,12.50,0.64,4,2.00,0.10,9,4.50,3,1.50,41.00%,0,0.00,0,0.00,68.5
PigeonFanGirl29,Clove Yoru Neon Vyse,19,12,7,384,202,182,319.9,1.57,77.60%,206.5,428,22.53,1.11,272,14.32,0.71,106,5.58,0.28,97,5.11,50,2.63,35.53%,3,0.16,12,0.63,79.3
Hoounter,Sova Omen Clove Astra Tejo Iso,19,13,6,416,231,185,301.8,1.77,81.25%,199.5,462,24.32,1.11,261,13.74,0.63,157,8.26,0.38,37,1.95,17,0.89,34.37%,29,1.53,13,0.68,88.6
Reality,Jett Clove,5,3,2,108,54,54,301.2,1.45,68.52%,191.5,113,22.60,1.05,78,15.60,0.72,22,4.40,0.20,20,4.00,15,3.00,23.80%,2,0.40,4,0.80,68.8
Cryic,Omen Tejo,2,0,2,48,21,27,287.5,1.63,77.08%,201.2,49,24.50,1.02,30,15.00,0.63,17,8.50,0.35,4,2.00,3,1.50,28.00%,6,3.00,1,0.50,105.5
Citrus,Jett Raze Astra Iso Yoru Brimstone Omen Viper,17,5,12,382,169,213,287.4,1.26,74.52%,185.4,371,21.82,0.97,295,17.35,0.77,112,6.59,0.29,64,3.76,38,2.38,22.31%,10,0.59,9,0.53,69.2
Beansforall,Deadlock Omen Chamber,21,13,8,420,234,186,286.3,1.48,78.33%,176.4,432,20.57,1.03,292,13.90,0.70,127,6.05,0.30,58,2.76,39,1.86,34.05%,6,0.29,18,0.86,72.9
f0glin,Yoru Breach Deadlock Omen Sova,23,16,7,494,265,229,285.5,1.65,83.60%,186.8,493,21.43,1.00,299,13.00,0.61,275,11.96,0.56,48,2.09,27,1.17,24.09%,34,1.48,23,1.00,83.9
warrenator,Tejo Raze Jett,21,13,8,420,234,186,285.3,1.49,76.19%,184.3,415,19.76,0.99,279,13.29,0.66,104,4.95,0.25,82,3.90,60,2.86,26.76%,12,0.57,15,0.71,73.5
JMB,Jett Reyna Raze Neon,7,1,6,150,68,82,281.6,1.46,73.33%,175.9,153,21.86,1.02,105,15.00,0.70,24,3.43,0.16,35,5.00,17,2.43,25.00%,2,0.29,5,0.71,70.1
Elyria,Yoru Raze Jett Reyna Phoenix,9,3,6,223,107,116,279.2,1.29,71.30%,184.0,212,23.56,0.95,164,18.22,0.74,40,4.44,0.18,48,5.33,38,4.22,29.44%,2,0.22,2,0.22,65.9
waffles32,Breach Astra Chamber Clove Yoru Brimstone Omen Iso Raze,33,21,12,688,363,325,277.2,1.24,71.37%,180.9,667,20.21,0.97,539,16.33,0.78,164,4.97,0.24,125,3.79,122,3.70,35.85%,18,0.55,8,0.24,72.8
The Boy Savior,Jett,1,0,1,18,5,13,274.0,1.21,88.89%,166.7,17,17.00,0.94,14,14.00,0.78,3,3.00,0.17,5,5.00,1,1.00,25.00%,2,2.00,0,0.00,75.0
anozzero,Omen Yoru Astra Viper Clove Iso Brimstone,24,14,10,521,278,243,273.5,1.33,74.09%,176.5,502,20.92,0.96,378,15.75,0.73,180,7.50,0.35,90,3.75,77,3.21,28.33%,25,1.04,19,0.79,68.0
Gyroscopic,Vyse Cypher,2,2,0,50,29,21,273.5,1.70,78.00%,189.0,51,25.50,1.02,30,15.00,0.60,9,4.50,0.18,5,2.50,2,1.00,25.00%,1,0.50,1,0.50,70.0
Ninzsy,Yoru Reyna,8,2,6,178,81,97,271.4,1.21,68.54%,177.9,171,21.38,0.96,141,17.63,0.79,34,4.25,0.19,33,4.13,26,3.25,24.50%,8,1.00,2,0.25,66.4
TheGreatMup,Jett Raze Yoru Iso,23,16,7,494,265,229,267.5,1.33,74.70%,168.2,462,20.09,0.94,347,15.09,0.70,92,4.00,0.19,118,5.13,76,3.30,27.35%,8,0.35,10,0.43,66.2
Sami763,Neon Killjoy Yoru Breach Tejo Chamber Vyse,18,12,6,387,211,176,265.2,1.28,75.71%,169.6,362,20.11,0.94,283,15.72,0.73,114,6.33,0.29,53,2.94,53,2.94,28.17%,8,0.44,13,0.72,63.3
Toaster,Breach Iso Jett Clove Raze Reyna Sova Tejo Neon,17,8,9,365,192,173,262.7,1.11,75.00%,165.0,318,18.71,0.87,287,16.88,0.79,109,6.41,0.30,71,4.18,57,3.35,24.63%,27,1.59,3,0.18,61.8
Asimov,Jett Iso Chamber Neon,31,19,12,642,352,290,261.3,1.22,73.52%,166.2,581,18.74,0.90,478,15.42,0.74,120,3.87,0.19,120,3.87,126,4.06,29.61%,11,0.35,15,0.48,68.5
brickcrusher73,Neon Iso KAY/O Breach Chamber,17,12,5,344,195,149,258.7,1.33,77.91%,161.2,317,18.65,0.92,239,14.06,0.69,133,7.82,0.39,48,2.82,37,2.18,26.12%,30,1.76,8,0.47,67.0
zer0,Yoru Jett Neon Iso,12,3,9,238,94,144,255.4,1.09,67.23%,170.9,209,17.42,0.88,192,16.00,0.81,45,3.75,0.19,32,2.67,30,2.50,27.08%,17,1.42,7,0.58,64.9
Buster,Cypher Omen Clove Jett,19,11,8,404,208,196,253.8,1.26,74.01%,162.5,368,19.37,0.91,293,15.42,0.73,105,5.53,0.26,60,3.16,58,3.05,29.00%,10,0.53,7,0.37,64.6
Poseidon,Clove Chamber Raze Reyna Jett Omen,21,12,9,474,244,230,253.0,1.14,69.76%,168.3,416,19.81,0.88,364,17.33,0.77,107,5.10,0.23,92,4.38,74,3.70,24.55%,13,0.62,15,0.71,67.7
Troodon18,Neon Raze Sova Viper,19,11,8,404,208,196,250.3,1.18,71.29%,166.6,340,17.89,0.84,288,15.16,0.71,86,4.53,0.21,59,3.11,41,2.16,23.79%,13,0.68,9,0.47,74.4
Goose695,Killjoy Cypher Yoru Vyse,10,5,5,211,102,109,246.6,1.15,68.25%,170.2,189,18.90,0.90,164,16.40,0.78,41,4.10,0.19,32,3.20,26,2.60,27.80%,8,0.80,4,0.40,66.1
Power,Fade Breach,5,3,2,110,61,49,246.0,1.33,79.09%,170.4,100,20.00,0.91,75,15.00,0.68,46,9.20,0.42,7,1.40,11,2.20,23.20%,13,2.60,1,0.20,62.2
genome,Breach Reyna KAY/O Tejo Gekko Iso Astra Chamber,12,2,10,267,119,148,245.4,1.29,73.03%,160.5,242,20.17,0.91,187,15.58,0.70,67,5.58,0.25,18,1.50,20,1.67,30.33%,13,1.08,7,0.58,67.1
hiimjake31,Sova Breach,14,6,8,309,136,173,242.4,1.19,69.90%,162.2,261,18.64,0.84,219,15.64,0.71,96,6.86,0.31,29,2.07,21,1.50,28.64%,8,0.57,10,0.71,68.3
freezy swrr,Omen Killjoy Astra Vyse Brimstone Cypher Deadlock Chamber,29,17,12,643,329,314,242.3,1.29,75.08%,161.5,570,19.66,0.89,441,15.21,0.69,177,6.10,0.28,79,2.72,49,1.75,28.89%,36,1.24,11,0.38,64.8
ieatcornchips,Omen,2,0,2,34,8,26,242.0,0.93,61.76%,140.7,27,13.50,0.79,29,14.50,0.85,8,4.00,0.24,5,2.50,7,3.50,21.50%,1,0.50,0,0.00,54.0
CrepePranks,Jett Raze Iso Neon Yoru,15,7,8,304,145,159,241.6,1.14,69.74%,161.0,258,17.20,0.85,226,15.07,0.74,49,3.27,0.16,57,3.80,34,2.27,34.87%,13,0.87,4,0.27,65.7
Slater,Neon Jett Clove Vyse Cypher Raze,14,2,12,310,136,174,239.6,1.05,67.74%,158.0,253,18.07,0.82,242,17.29,0.78,65,4.64,0.21,44,3.14,43,3.07,26.43%,5,0.36,6,0.43,60.4
pendding,Raze Astra Reyna Chamber Omen Skye Brimstone Neon Clove Killjoy Cypher,25,5,20,559,238,321,239.3,1.06,68.75%,160.0,463,18.52,0.83,436,17.44,0.78,125,5.00,0.22,106,4.24,84,3.36,33.61%,10,0.40,10,0.40,64.9
JustAnIntellect,Deadlock Tejo Cypher,17,9,8,354,179,175,237.9,1.13,70.34%,155.9,296,17.41,0.84,262,15.41,0.74,76,4.47,0.21,42,2.47,31,1.82,31.94%,12,0.71,8,0.47,62.4
GlueGuy,Iso Breach Raze Jett Waylay,19,16,3,390,229,161,237.9,1.11,73.33%,154.6,312,16.42,0.80,281,14.79,0.72,101,5.32,0.26,74,3.89,59,3.11,24.89%,7,0.37,7,0.37,60.1
jenk,Neon Killjoy Cypher Vyse Clove,18,12,6,377,213,164,236.6,1.12,72.62%,150.7,308,17.11,0.82,276,15.33,0.73,87,4.83,0.23,61,3.39,42,2.47,18.12%,6,0.33,10,0.56,61.3
7ungsten,Vyse Sova Brimstone Omen Jett Tejo Killjoy Astra Breach Yoru Viper Cypher Raze,34,22,12,714,395,319,235.9,1.33,75.58%,153.9,617,18.15,0.86,465,13.68,0.65,201,5.91,0.28,79,2.32,61,1.85,21.73%,65,1.91,23,0.68,64.7
Ducky,Breach Sova Neon Deadlock,10,2,8,234,106,128,235.7,1.03,71.37%,152.6,186,18.60,0.79,181,18.10,0.77,84,8.40,0.36,26,2.60,36,3.60,20.70%,8,0.80,6,0.60,58.2
Ginzburg,Sova Chamber Tejo Breach,22,15,7,454,256,198,235.7,1.25,78.19%,155.8,365,16.59,0.80,292,13.27,0.64,175,7.95,0.39,39,1.77,35,1.59,22.00%,52,2.36,14,0.64,66.8
Great,Chamber Omen Viper Cypher Vyse Brimstone,18,8,10,391,179,212,235.1,1.15,70.33%,159.8,328,18.22,0.84,285,15.83,0.73,76,4.22,0.19,48,2.67,28,1.56,29.72%,17,0.94,11,0.61,61.6
Perso,Breach KAY/O Omen Cypher Tejo Gekko Fade,26,14,12,556,288,268,234.6,1.15,78.78%,142.6,441,16.96,0.79,385,14.81,0.69,236,9.08,0.42,65,2.50,58,2.23,16.15%,67,2.58,21,0.81,57.4
Edieuniverse,Yoru Omen Neon Brimstone Raze Jett,22,15,7,454,256,198,228.7,1.09,72.25%,153.7,364,16.55,0.80,333,15.14,0.73,106,4.82,0.23,58,2.64,54,2.45,35.59%,5,0.23,8,0.36,65.1
Lolseanly,Raze Iso Jett Yoru Chamber Neon,24,11,13,503,242,261,228.3,1.02,67.59%,147.7,405,16.88,0.81,398,16.58,0.79,85,3.54,0.17,92,3.83,67,2.79,24.08%,10,0.42,8,0.33,68.8
gibbon,Cypher KAY/O Breach Sova Tejo Astra Killjoy Brimstone Viper,22,14,8,471,252,219,224.1,1.19,77.55%,149.4,367,16.68,0.78,309,14.05,0.66,167,7.59,0.35,21,0.95,17,0.81,25.67%,22,1.00,17,0.77,60.4
